Fighters,Average (Raw),Wrestling,BJJ,Judo,Freestyle,Muay Thai,Karate,Kickboxing,Boxing,TKD,Kung Fu,Champ.,Wres. Champ.,BJJ Champ.,Karate Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ,ESPN Champ.,Wres. Champ.,BJJ Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Karate Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ
Jan Blachowicz,Judo,,,1.83,,,,,,,,X,,,,,,,,1.83,,,,,,,,,,,1.83,,
Jason Black,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Blackburn,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximo Blanco,Wrestling,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Blaydes,Wrestling,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Bobish,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Bocek,BJJ,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Bochniak,BJJ,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Boetsch,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Bohlander,Wrestling,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephan Bonnar,BJJ,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogério Bontorin,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Borg,Freestyle,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Boser,Karate,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Bowles,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Bowling,Boxing,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Bradley,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Bradley,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Brady,BJJ,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebenezer Fontes Braga,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramiz Brahimaj,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Branch,Karate,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Brandão,Muay Thai,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Bravo,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Breese,Wrestling,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Brennan,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Brenneman,Wrestling,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Brilz,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Brimage,Muay Thai,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Briones,Freestyle,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Brookins,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarred Brooks,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Brooks,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Broughton,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Brown,Kickboxing,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Brown,Karate,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Brown,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Brown,Boxing,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Trenton Brown,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Browne,BJJ,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Bruno,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Brunson,Wrestling,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Buchholz,Wrestling,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Buckley,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Buentello,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Modestas Bukauskas,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Burgos,Freestyle,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Burkman,Wrestling,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mads Burnell,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikey Burnett,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Burns,BJJ,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbert Burns,BJJ,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Burns,TKD,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,
Nah-Shon Burrell,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murilo Bustamante,BJJ,,3,,,,,,,,,X,,3,,,,,,,,,,,3,,,,,,,,
Charles Byrd,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Caceres,Freestyle,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Camacho,Freestyle,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabrício Camões,BJJ,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Camozzi,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Camozzi,Wrestling,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Campuzano ,TKD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Aleksa Camur,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chico Camus,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luiz Cané,BJJ,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guido Cannetti,Muay Thai,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Cannonier ,Freestyle,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Cantwell,Kickboxing,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Caraway,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Cariaso,Freestyle,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antônio Carlos Júnior,BJJ,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike Carlyle,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Carmont,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roan Carneiro,BJJ,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shonie Carter,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Carvalho,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Carwin,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Case,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Casey,BJJ,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Castañeda,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Castillo,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gil Castillo,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Catone,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Caudillo,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Cavalcante,BJJ,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnus Cedenblad,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yosdenis Cedeno,Karate,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Cejudo,Wrestling,5,,,,,,,,,,X,5,,,,,,,,,,,5,,,,,,,,,
Donald Cerrone,Kickboxing,,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Chandler,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Chavez,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest Chavez,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Cherant,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Chiesa,Wrestling,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giga Chikadze,Karate,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Khamzat Chimaev,Wrestling,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sako Chivitchian,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doo Ho Choi,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Seung Woo Choi,Muay Thai,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Cholish,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryo Chonan,Karate,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Joachim Christensen,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Christison,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misha Cirkunov,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Clark,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaVerne Clark,Boxing,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Logan Clark,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch Clarke,Wrestling,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
