Fighters,Average (Raw),Wrestling,BJJ,Judo,Freestyle,Muay Thai,Karate,Kickboxing,Boxing,TKD,Kung Fu,Champ.,Wres. Champ.,BJJ Champ.,Karate Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ,ESPN Champ.,Wres. Champ.,BJJ Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Karate Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ
Branden Lee Hinkle,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatsu Hioki,BJJ,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuniyoshi Hironaka,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizuto Hirota,Boxing,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Matt Hobar,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Hoffman,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Hoger,BJJ,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Holbrook,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Holdsworth,BJJ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Holland,Freestyle,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Hollett,Kickboxing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Max Holloway,Boxing,,,,,,,,3.17,,,X,,,,3.17,,,,,,,,,,,3.17,,,,,,
Kurt Holobaugh,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Holohan,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Holst,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Holtsman,Freestyle,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabah Homasi,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Hominick,Freestyle,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satoshi Honma,Karate,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Hooker,Kickboxing,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Hooper,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Horcher,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyoji Horiguchi,Karate,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Horn,Freestyle,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Horwich,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Hougland,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Howard,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
John Howard,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Howell,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hubbard,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Huerta,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Hughes,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Hughes,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Hughes,Wrestling,2.57,,,,,,,,,,X,2.57,,,,,,,,,,,2.57,,,,,,,,,
Mark Hunt,Muay Thai,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Hutcherson,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Iaquinta,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khadis Ibragimov,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Ige,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabiano Iha,BJJ,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nassourdine Imavov,Boxing,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Brad Imes,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guto Inocente,Kickboxing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Enson Inoue,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Naoki Inoue,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Irvin,BJJ,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damir Ismagulov,Freestyle,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallid Ismail,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Issa,BJJ,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yves Jabouin,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damon Jackson,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Jackson,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Jackson,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montel Jackson,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinton Jackson,Wrestling,1.6,,,,,,,,,,X,1.6,,,,,,,,,,,1.6,,,,,,,,,
Dustin Jacoby,TKD,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,
Mason James,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Janes,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Jardine,Wrestling,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jaynes,Wrestling,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Jennum,Kung Fu,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Ryan Jensen,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maciej Jewtuszko,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Jhun,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Jimmo,Karate,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
Li Jingliang,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Johns,Judo,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Johns,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Johnson,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaMarques Johnson,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrious Johnson,Wrestling,5,,,,,,,,,,X,5,,,,,,,,,,,5,,,,,,,,,
Jordan Johnson,Wrestling,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kajan Johnson,Freestyle,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavar Johnson,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Johnson,Wrestling,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Johnson,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Johnston,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Jones,Wrestling,20,,,,,,,,,,X,20,,,,,,,,,,,20,,,,,,,,,
Paul Jones,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevin Jones,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Jordan,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Jordan,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Jorge,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Jorgensen,Wrestling,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Jotko,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Jouban,Muay Thai,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Jourdain,Freestyle,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Jumeau,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Chan Sung Jung,Kickboxing,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,
Da Un Jung,Freestyle,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Jury,Wrestling,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Kamaka III,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Kampmann,Wrestling,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masanori Kanehara,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denis Kang,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyung Ho Kang,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manel Kape,Muay Thai,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Kara-France,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Karalexis,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impa Kasanganay,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Katona,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Kattar,Wrestling,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatsuya Kawajiri,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Kelades,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Kelleher,Freestyle,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Kelley,BJJ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Kelly,Judo,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Kelly,Boxing,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,
Song Kenan,Kung Fu,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Tim Kennedy,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Kenney,Judo,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Kerr,Wrestling,4,,,,,,,,,,X,4,,,,,,,,,,,4,,,,,,,,,
Rustam Khabilov,Wrestling,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katsunori Kikuno,Judo,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanae Kikuta,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dong Hyun Kim,Judo,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dong Hyun Kim,Judo,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Kimball,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Kimmons,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Kimura,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Kingsbury,Freestyle,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ľudovít Klein,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drakkar Klose,Wrestling,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Knight,Freestyle,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Knight,Wrestling,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Koch,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Kohler,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Kolosci,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuki Kondo,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheick Kongo,Karate,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Koppenhaver,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsuyoshi Kosaka,Judo,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Koscheck,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naoyuki Kotani,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Krantz,Kung Fu,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
James Krause,BJJ,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Krauss,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikita Krylov,Karate,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Kuiper,Judo,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Kuivanen,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiichi Kunimoto,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Kyle,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan LaFlare,Wrestling,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Lajcik,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Lamas,Wrestling,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Lambert,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Landwehr,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austen Lane,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Laprise,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Lapsley,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenz Larkin,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Larsen,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Larson,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilir Latifi,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenel Lausa,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Lauzon,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Lauzon,Freestyle,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Lawler,Boxing,,,,,,,,1.56,,,X,,,,1.56,,,,,,,,,,,,,,1.56,,,
Tom Lawlor,Wrestling,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Lawrence,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Cung Le,Kung Fu,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Jordan Leavitt,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Leben,Freestyle,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickaël Lebout,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Ledet,Freestyle,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Lee,Wrestling,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaughan Lee,Freestyle,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thales Leites,BJJ,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Lennox,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nik Lentz,Wrestling,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimo Leopoldo,TKD,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,
Brock Lesnar,Wrestling,1.33,,,,,,,,,,X,1.33,,,,,,,,,,,1.33,,,,,,,,,
Justin Levens,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus LeVesseur,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Lewis,Boxing,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,
Jingliang Li ,Kung Fu,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Jess Liaudin,Muay Thai,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck Liddell,Karate,,,,,,2.29,,,,,X,,,2.29,,,,,,,,,,,,,,,2.29,,,
Zach Light,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyun Gyu Lim,Freestyle,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhiego Lima,Freestyle,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Lindland,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Lindsey,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Lineker,Boxing,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Austin Lingo,Muay Thai,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipe Lins,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Lister,BJJ,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Lober,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Loiseau,TKD,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,
Hector Lombard,Judo,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benito Lopez,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Lopez,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Lopez,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Loughran,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Loveland,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waylon Lowe,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duane Ludwig,Muay Thai,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalcha Lungiambula,Judo,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Lutter,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente Luque,Freestyle,,,,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Lytle,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Macário,Muay Thai,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason MacDonald,BJJ,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob MacDonald,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rory MacDonald,Freestyle,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyoto Machida,Karate,,,,,,2,,,,,X,,,2,,,,,,,,,,,,,,,2,,,
Anthony Macias,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reza Madadi,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Madsen,Wrestling,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Madsen,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Mafra,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caio Magalhães,Freestyle,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinny Magalhães,BJJ,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Magny,Wrestling,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Magomedov,Boxing,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Ruslan Magomedov,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zabit Magomedsharipov,Wrestling,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Maguire,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demian Maia,BJJ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Makdessi,Karate,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,
Islam Makhachev,Wrestling,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Makovsky,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fábio Maldonado,Freestyle,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Malkoun,Boxing,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nate Maness,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimi Manuwa,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Marcello,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronny Markes,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rory Markham,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Roque Martinez,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Marquardt,Freestyle,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmelo Marrero,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliot Marshall,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Jack Marshman,Freestyle,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Martin,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Martin,BJJ,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Martinez,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Martinez,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Martinez,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriano Martins,Judo,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Martins,Muay Thai,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol Marunde,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danilo Marques,Boxing,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Julian Marquez,Wrestling,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Massenzio,Wrestling,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Masvidal,Karate,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Matthews,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir Matyushenko,Wrestling,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don'Tale Mayes,Judo,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Maynard,Wrestling,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael McBride,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian McCall,Kung Fu,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,
Charles McCarthy,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean McCorkle,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kris McCray,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamdan McCrory,Wrestling,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin McCully,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert McDaniel,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael McDonald,Kickboxing,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Drew McFedries,Freestyle,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court McGee,Wrestling,w.ww,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gan McGee ,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor McGregor,Boxing,,,,,,,,2.5,,,X,,,,2.5,,,,,,,,,,2.5,,,,,,,
Antonio McKee,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody McKenzie,Freestyle,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim McKenzie,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance McKinney,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garreth McLellan,Karate,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
James McSweeney,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Means,Freestyle,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yancy Medeiros,Karate,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,
Emil Meek,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Meerschaert,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mein,Kickboxing,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Melancon,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Melendez,Wrestling,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Mendes,Wrestling,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonzo Menifield,Freestyle,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Menjivar,BJJ,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Menne,Wrestling,0.5,,,,,,,,,,X,0.5,,,,,,,,,,,0.5,,,,,,,,,
Yaotzin Meza,Wrestling,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
